model,guide_id,company,release_yr,url
Galaxy S8 ,87136,Samsung,2017,https://www.ifixit.com/Teardown/Samsung+Galaxy+S8+Teardown/87136
OnePlus 8 Pro,133351,OnePlus,2020,https://www.ifixit.com/Teardown/OnePlus+8+Pro+Teardown/133351
